,category_id,name,slug,price,link,image_link
29,4,Xiaomi Redmi Note 9S Dual SIM Glacier White 4GB RAM 64GB 4G LTE ,Xiaomi-Redmi-Note-9S-Dual-SIM-Glacier-White-4GB-RAM-64GB-4G-LTE,668.75,https://www.noon.com/uae-en/redmi-note-9s-dual-sim-glacier-white-4gb-ram-64gb-4g-lte/N37619761A/p?o=ac875f55b09719bd,https://z.nooncdn.com/products/tr:n-t_240/v1588227456/N37619761A_1.jpg
30,4,OnePlus 8T Dual Sim Lunar Silver 8GB RAM 128GB 5G - Global Version ,OnePlus-8T-Dual-Sim-Lunar-Silver-8GB-RAM-128GB-5G---Global-Version,1749.0,https://www.noon.com/uae-en/8t-dual-sim-lunar-silver-8gb-ram-128gb-5g-global-version/N41451375A/p?o=a4394ffe97d1dc0e,https://z.nooncdn.com/products/tr:n-t_240/v1603865216/N41451375A_1.jpg
31,4,Xiaomi Mi 10T Dual Sim Lunar Silver 8GB RAM 128GB 5G ,Xiaomi-Mi-10T-Dual-Sim-Lunar-Silver-8GB-RAM-128GB-5G,1449.0,https://www.noon.com/uae-en/mi-10t-dual-sim-lunar-silver-8gb-ram-128gb-5g/N41673780A/p?o=c1601f3353d8486a,https://z.nooncdn.com/products/tr:n-t_240/v1604205826/N41673780A_1.jpg
32,4,Apple iPhone XS Max With FaceTime Space Grey 512GB 4G LTE - International Specs ,Apple-iPhone-XS-Max-With-FaceTime-Space-Grey-512GB-4G-LTE---International-Specs,2949.0,https://www.noon.com/uae-en/iphone-xs-max-with-facetime-space-grey-512gb-4g-lte-international-specs/N17927063A/p?o=f91d71c82f7fccba,https://z.nooncdn.com/products/tr:n-t_240/v1537600235/N17927063A_1.jpg
33,4,Xiaomi Redmi Note 9 Dual SIM Forest Green 4GB RAM 128GB 4G LTE ,Xiaomi-Redmi-Note-9-Dual-SIM-Forest-Green-4GB-RAM-128GB-4G-LTE,599.0,https://www.noon.com/uae-en/redmi-note-9-dual-sim-forest-green-4gb-ram-128gb-4g-lte/N38114323A/p?o=d81e8add1bf3909e,https://z.nooncdn.com/products/tr:n-t_240/v1605814247/N38114323A_1.jpg
34,4,Samsung Grand Prime Plus Dual SIM Black 8GB 1.5GB RAM 4G LTE ,Samsung-Grand-Prime-Plus-Dual-SIM-Black-8GB-1.5GB-RAM-4G-LTE,239.0,https://www.noon.com/uae-en/grand-prime-plus-dual-sim-black-8gb-1-5gb-ram-4g-lte/N11048998A/p?o=f0e5f373c193836a,https://z.nooncdn.com/products/tr:n-t_240/v1502812913/N11048998A_1.jpg
35,4,LG V40 ThinQ Dual SIM Carmine Red 128GB 4G LTE ,LG-V40-ThinQ-Dual-SIM-Carmine-Red-128GB-4G-LTE,721.0,https://www.noon.com/uae-en/v40-thinq-dual-sim-carmine-red-128gb-4g-lte/N26850737A/p?o=bf85c4e5778e2aef,https://z.nooncdn.com/products/tr:n-t_240/v1560756898/N26850737A_1.jpg
36,4,Samsung Galaxy A72 Dual SIM Awesome White 8GB RAM 256GB 4G LTE - Middle East Version ,Samsung-Galaxy-A72-Dual-SIM-Awesome-White-8GB-RAM-256GB-4G-LTE---Middle-East-Version,1499.0,https://www.noon.com/uae-en/galaxy-a72-dual-sim-awesome-white-8gb-ram-256gb-4g-lte-middle-east-version/N44652310A/p?o=d9b52cf7ba9b7d1c,https://z.nooncdn.com/products/tr:n-t_240/v1614063593/N44652310A_1.jpg
37,4,realme 7 Pro Dual Sim Mirror Blue 8GB RAM 128GB 4G LTE ,realme-7-Pro-Dual-Sim-Mirror-Blue-8GB-RAM-128GB-4G-LTE,899.0,https://www.noon.com/uae-en/7-pro-dual-sim-mirror-blue-8gb-ram-128gb-4g-lte/N40832026A/p?o=b7d11bb511f8f06c,https://z.nooncdn.com/products/tr:n-t_240/v1605988803/N40832026A_1.jpg
38,4,SANNO IPX Dual SIM Black 64GB 4G LTE ,SANNO-IPX-Dual-SIM-Black-64GB-4G-LTE,599.0,https://www.noon.com/uae-en/ipx-dual-sim-black-64gb-4g-lte/N13429231A/p?o=ed787cd23bab04af,https://z.nooncdn.com/products/tr:n-t_240/v1519138140/N13429231A_1.jpg
39,4,HUAWEI Y7A Dual SIM Crush Green 4GB RAM 128GB 4G LTE ,HUAWEI-Y7A-Dual-SIM-Crush-Green-4GB-RAM-128GB-4G-LTE,606.0,https://www.noon.com/uae-en/y7a-dual-sim-crush-green-4gb-ram-128gb-4g-lte/N41364382A/p?o=e97855c72b47506c,https://z.nooncdn.com/products/tr:n-t_240/v1603711306/N41364382A_1.jpg
40,4,S-Color Q20 Dual SIM Gold 4GB 3G ,S-Color-Q20-Dual-SIM-Gold-4GB-3G,199.0,https://www.noon.com/uae-en/q20-dual-sim-gold-4gb-3g/N13713196A/p?o=cf6f481642524c5d,https://z.nooncdn.com/products/tr:n-t_240/v1521108552/N13713196A_1.jpg
41,4,SANNO R5 Dual SIM Dull Black 32GB 4G LTE ,SANNO-R5-Dual-SIM-Dull-Black-32GB-4G-LTE,466.0,https://www.noon.com/uae-en/r5-dual-sim-dull-black-32gb-4g-lte/N13429232A/p?o=c9f6ff9abd07ab7b,https://z.nooncdn.com/products/tr:n-t_240/v1519138142/N13429232A_1.jpg
42,4,Apple iPhone 12 Pro Max With Facetime 256GB Gold 5G - International Specs ,Apple-iPhone-12-Pro-Max-With-Facetime-256GB-Gold-5G---International-Specs,4264.9,https://www.noon.com/uae-en/iphone-12-pro-max-with-facetime-256gb-gold-5g-international-specs/N41247241A/p?o=c427f7088101e36f,https://z.nooncdn.com/products/tr:n-t_240/v1605592279/N41247241A_1.jpg
43,4,Xiaomi Redmi 9C Dual SIM Twilight Blue 3GB RAM 64GB 4G LTE ,Xiaomi-Redmi-9C-Dual-SIM-Twilight-Blue-3GB-RAM-64GB-4G-LTE,499.0,https://www.noon.com/uae-en/redmi-9c-dual-sim-twilight-blue-3gb-ram-64gb-4g-lte/N40501362A/p?o=a20fef7ca1f24b7f,https://z.nooncdn.com/products/tr:n-t_240/v1600934199/N40501362A_1.jpg
44,4,Samsung Galaxy A52 Dual SIM Awesome Blue 8GB RAM 128GB 5G - Middle East Version ,Samsung-Galaxy-A52-Dual-SIM-Awesome-Blue-8GB-RAM-128GB-5G---Middle-East-Version,1397.2,https://www.noon.com/uae-en/galaxy-a52-dual-sim-awesome-blue-8gb-ram-128gb-5g-middle-east-version/N44119226A/p?o=a99a1fad6f2377df,https://z.nooncdn.com/products/tr:n-t_240/v1613900035/N44119226A_1.jpg
45,4,AllCall Rio S Dual SIM Gold 16GB 4G LTE ,AllCall-Rio-S-Dual-SIM-Gold-16GB-4G-LTE,429.0,https://www.noon.com/uae-en/rio-s-dual-sim-gold-16gb-4g-lte/N12619028A/p?o=cce530c25862074d,https://z.nooncdn.com/products/tr:n-t_240/v1511439102/N12619028A_1.jpg
46,4,Samsung Galaxy Note8 Dual SIM Midnight Black 64GB 6GB RAM 4G LTE ,Samsung-Galaxy-Note8-Dual-SIM-Midnight-Black-64GB-6GB-RAM-4G-LTE,899.0,https://www.noon.com/uae-en/galaxy-note8-dual-sim-midnight-black-64gb-6gb-ram-4g-lte/N12288196A/p?o=d49fb6754dbd819c,https://z.nooncdn.com/products/tr:n-t_240/v1539006938/N12288196A_1.jpg
47,4,Apple iPhone XR Dual Sim With Facetime Black 128GB 4G LTE - HK Specs ,Apple-iPhone-XR-Dual-Sim-With-Facetime-Black-128GB-4G-LTE---HK-Specs,2049.0,https://www.noon.com/uae-en/iphone-xr-dual-sim-with-facetime-black-128gb-4g-lte-hk-specs/N19470021A/p?o=f4fa04b38fd09cbb,https://z.nooncdn.com/products/tr:n-t_240/v1540813782/N19470021A_1.jpg
48,4,Motorola Moto G30 Dual SIM Phantom Black 6GB RAM 128GB 4G LTE - UAE Version ,Motorola-Moto-G30-Dual-SIM-Phantom-Black-6GB-RAM-128GB-4G-LTE---UAE-Version,649.0,https://www.noon.com/uae-en/moto-g30-dual-sim-phantom-black-6gb-ram-128gb-4g-lte-uae-version/N44422144A/p?o=b893a37981d3fbba,https://z.nooncdn.com/products/tr:n-t_240/v1613560699/N44422144A_1.jpg
49,4,Xiaomi Redmi 9C Dual SIM Midnight Grey 3GB RAM 64GB 4G LTE ,Xiaomi-Redmi-9C-Dual-SIM-Midnight-Grey-3GB-RAM-64GB-4G-LTE,485.0,https://www.noon.com/uae-en/redmi-9c-dual-sim-midnight-grey-3gb-ram-64gb-4g-lte/N40488796A/p?o=d688e719933a22bb,https://z.nooncdn.com/products/tr:n-t_240/v1601040415/N40488796A_1.jpg
